satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly
SUPERBIRD-C2,33274.0,2.1699,0.0003342,1.00269749104988,82.176,0.201,216.3199
INMARSAT 4-F3,33278.0,4.2301,0.0002756,1.00274353,31.3351,346.6497,171.2209
HUANJING 1A (HJ-1A),33320.0,97.6659,0.001986,14.83819688947444,82.9831,26.0617,334.1593
HUANJING 1B (HJ-1B),33321.0,97.6503,0.0038012,14.83178582947452,86.3769,66.9893,293.5324
GEOEYE 1,33331.0,98.1268,0.0002974,14.64656777939324,169.0959,303.5064,56.5855
NIMIQ 4,33373.0,0.0218,0.0002052,1.00269785,241.2366,141.759,160.9169
GALAXY 19 (G-19),33376.0,0.0222,0.0002912,1.00272764,247.3484,133.4539,163.7022
THEOS,33396.0,98.5648,0.0001159,14.20123056907473,153.9312,98.7787,261.3521
SHIJIAN-6 03A (SJ-6 03A),33408.0,97.8485,0.0009905,15.16439781951754,124.9919,266.2443,93.7656
SHIJIAN-6 03B (SJ-6 03B),33409.0,97.863,0.0018201,15.04064156951643,112.987,291.7862,68.1426
COSMO-SKYMED 3,33412.0,97.8365,0.0016325,15.06476719945807,311.5564,153.1087,207.0989
SHIYAN-3 (SY-3),33433.0,98.614,0.0013444,14.30777486908208,121.3165,357.5238,2.5876
CHUANGXIN 1-02 (CX-1-02),33434.0,98.6208,0.001428,14.30138010908057,121.2572,2.6588,357.4667
ASTRA 1M,33436.0,0.108,0.0002877,1.0027198,75.0102,355.4284,211.3457
YAOGAN-4,33446.0,97.9273,0.001329,14.83059750934706,28.3055,316.3724,43.6438
EUTELSAT HOTBIRD 13C,33459.0,2.7607,0.0004137,1.00273746,80.0451,302.0183,205.7254
GOSAT (IBUKI),33492.0,98.0792,0.0001042,14.67547322920627,206.3396,97.4591,262.6732
STARS (KUKAI),33498.0,98.1503,0.000986,14.95222311927434,38.6358,58.5807,301.6375
KKS-1 (KISEKI),33499.0,98.119,0.0008187,14.82931099925231,15.527,160.1323,200.0211
EXPRESS-AM44,33595.0,3.2741,0.0004329,1.00272263,79.2855,294.6264,230.2327
