satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly,orbital_period_minutes,orbit_type
2025-155H,64883.0,97.4521,0.0009338,15.28235442,62.6413,81.7805,278.4493,94.2263188265987,LEO
2025-155J,64884.0,97.4515,0.0009467,15.28231828,62.6398,78.3252,281.9049,94.22654165530179,LEO
2025-155K,64885.0,97.4458,0.0009364,15.35859813,63.7698,74.1462,286.0813,93.7585571164365,LEO
2025-155L,64886.0,97.443,0.0009727,15.37307101,63.894,76.515,283.7178,93.6702887187145,LEO
2025-155M,64887.0,97.4464,0.0009774,15.34781286,63.6161,74.4459,285.7863,93.82444346536032,LEO
2025-155N,64888.0,97.4438,0.0009541,15.37387838,63.9284,74.7197,285.5102,93.66536955784088,LEO
2025-155P,64889.0,97.4538,0.0009279,15.25800931,62.2485,81.1233,279.1055,94.37666282299574,LEO
GEOSCAN 2 (RS92S2),64890.0,97.4502,0.0009288,15.29459362,62.809,73.112,287.1138,94.15091605421811,LEO
GEOSCAN 5 (RS92S5),64891.0,97.4499,0.0008725,15.31225186,63.1299,88.2435,271.9805,94.04234028841267,LEO
GEOSCAN 4 (RS92S4),64892.0,97.4503,0.0008743,15.31338577,63.1503,88.7984,271.4259,94.035376736937,LEO
GEOSCAN 3 (RS92S3),64893.0,97.4492,0.0008599,15.32858168,63.4131,89.9257,270.297,93.94215525359682,LEO
INNOSAT 3 (RS92S0),64894.0,97.4459,0.0008462,15.3881863,64.2724,91.5226,268.6989,93.57827959231297,LEO
2025-155V,64895.0,97.4524,0.00094,15.2822259,62.5792,82.1678,278.0628,94.22711124823773,LEO
SKYCRAFT-4C,64896.0,97.674,0.0006683,14.94885385188083,159.8566,136.9598,223.2147,96.32845529617794,LEO
SKYCRAFT-4A,64897.0,97.6763,0.0006685,14.95745854,160.0219,139.8642,220.3074,96.27303971119683,LEO
SKYKRAFT-4D,64898.0,97.6729,0.0006051,14.95379393,159.4243,136.8537,223.3159,96.29663259643435,LEO
MICROCARB,64899.0,97.9852,0.0017234,14.72245267,172.6618,145.2301,215.0036,97.8097897325419,LEO
CO3D 3,64900.0,97.4337,0.0002068,15.20193533,170.3268,103.149,256.9977,94.72478133479865,LEO
CO3D 4,64901.0,97.4325,0.0001404,15.20213953,172.7255,146.2155,213.917,94.72350896124159,LEO
CO3D 2,64902.0,97.652,0.0063279,15.1953774,173.3642,311.0942,48.4837,94.76566208878761,LEO
CO3D 1,64903.0,97.4393,0.0023021,15.2054209,173.0315,357.403,2.7082,94.70306737776657,LEO
STARLINK-34647,64904.0,53.1576,0.0001401,15.3017687,230.2382,58.9829,301.1309,94.10676819340499,LEO
STARLINK-34273,64905.0,53.1595,8.79e-05,15.30165197,229.2598,92.5947,267.5154,94.10748609517617,LEO
STARLINK-34713,64906.0,53.1614,0.0001098,15.30148029,229.1621,88.829,271.2837,94.10854196512513,LEO
STARLINK-34712,64907.0,53.1574,0.0001279,15.30158171,229.2804,65.9381,294.1753,94.10791820684268,LEO
STARLINK-34702,64908.0,53.1597,0.0001372,15.30188678,229.1098,123.9011,236.212,94.10604200013562,LEO
STARLINK-34687,64909.0,53.1595,0.0001036,15.3015287,229.8234,104.3205,255.7911,94.1082442305258,LEO
STARLINK-34642,64910.0,53.158,0.0001052,15.3015279,229.0229,69.2658,290.8456,94.10824915072696,LEO
STARLINK-34718,64911.0,53.1578,4.92e-05,15.30182692,229.8938,90.5813,269.5244,94.10641013837844,LEO
STARLINK-34711,64912.0,53.1593,0.0001244,15.30146934,229.2466,74.2126,285.9012,94.10860931084936,LEO
STARLINK-34659,64913.0,53.1617,0.0001198,15.30147963,229.7272,54.7231,305.3882,94.10854602431674,LEO
STARLINK-34571,64914.0,53.1582,0.00013,15.30130676,229.2976,112.9019,247.2119,94.10960923706101,LEO
STARLINK-34636,64915.0,53.1607,0.0001171,15.30156672,229.1909,107.1134,252.9995,94.10801039855872,LEO
STARLINK-34695,64916.0,53.1605,0.0001402,15.3983188,225.6339,70.5071,289.6085,93.51670261561281,LEO
STARLINK-34653,64917.0,53.1569,0.0001332,15.30174497,230.2485,44.6916,315.4192,94.10691413451259,LEO
STARLINK-34611,64918.0,53.1577,0.0001244,15.30230297,230.2488,59.0409,301.0713,94.10348251652738,LEO
STARLINK-34599,64919.0,53.1604,8.31e-05,15.30171985,229.1214,114.2195,245.8892,94.10706862470757,LEO
STARLINK-34069,64920.0,53.1581,0.0001421,15.30163423,229.9109,77.1833,282.9326,94.10759519899987,LEO
STARLINK-34699,64921.0,53.159,0.0001144,15.30171804,229.8715,74.655,285.4577,94.10707975638532,LEO
STARLINK-34700,64922.0,53.161,0.0001061,15.30159767,229.1381,108.5663,251.5453,94.10782004961709,LEO
STARLINK-34643,64923.0,53.1587,6.1e-05,15.30178152,229.9211,113.0908,247.0157,94.10668934972482,LEO
STARLINK-34199,64924.0,53.1574,0.0001137,15.30156233,229.0378,62.2197,297.8919,94.10803739803477,LEO
STARLINK-34579,64925.0,53.1605,9.28e-05,15.30134854,229.1771,91.5772,268.5335,94.10935227281608,LEO
STARLINK-34543,64926.0,53.1578,0.0001104,15.30145648,230.2622,55.2355,304.8749,94.10868840375906,LEO
STARLINK-34661,64927.0,53.1592,0.0001171,15.3015159,229.8331,93.5666,266.5468,94.10832295380617,LEO
STARLINK-34248,64928.0,53.1593,0.0001288,15.30144606,229.2749,109.0336,251.0805,94.10875249002446,LEO
STARLINK-34290,64929.0,53.1607,0.0001156,15.30160791,229.2019,107.7965,252.3162,94.10775707165536,LEO
STARLINK-34220,64930.0,53.1587,0.0001073,15.30172609,229.3504,91.7148,268.3976,94.10703024811497,LEO
STARLINK-34715,64931.0,53.1612,0.0001366,15.30166113,229.7758,68.2086,291.906,94.1074297598172,LEO
STARLINK-34705,64932.0,97.6033,0.0002324,15.05654395,319.188,102.327,257.8217,95.63947774349637,LEO
STARLINK-34737,64933.0,97.6027,0.0002505,15.05651167,319.2038,83.1521,276.9991,95.63968278716182,LEO
STARLINK-34775,64934.0,97.5974,0.0004341,15.05638248,319.2132,88.279,271.8934,95.6405034152666,LEO
STARLINK-34726,64935.0,97.6027,0.0002176,15.05652307,319.2438,83.2099,276.9375,95.639610373871,LEO
STARLINK-34529,64936.0,97.6028,0.0002285,15.05657412,319.2029,86.1555,273.9933,95.63928610341806,LEO
STARLINK-34743,64937.0,97.6009,0.0001932,15.0565443,319.2185,86.0739,274.0709,95.63947552028921,LEO
STARLINK-34730,64938.0,97.6024,0.0002529,15.05640526,319.2623,84.8616,275.2899,95.640358713352,LEO
STARLINK-34714,64939.0,97.6019,0.000259,15.05652909,319.268,90.5013,269.6511,95.63957213461606,LEO
STARLINK-34755,64940.0,97.6021,0.0002318,15.01267876,319.6968,101.2259,258.9226,95.91892446514989,LEO
STARLINK-34740,64941.0,97.6026,0.0003162,15.05649335,319.2478,55.9694,304.1832,95.63979915682027,LEO
STARLINK-34742,64942.0,97.6039,0.000258,15.05667767,319.2465,57.7366,302.411,95.63862835884167,LEO
STARLINK-34719,64943.0,97.6027,0.0002678,15.05650596,319.239,90.5109,269.6425,95.63971905736886,LEO
STARLINK-34373,64944.0,97.6029,0.0002318,15.05652685,319.201,65.5554,294.5915,95.63958636317247,LEO
STARLINK-34758,64945.0,97.6031,0.0002358,15.05659018,319.2295,105.3661,254.7826,95.63918409048442,LEO
STARLINK-34753,64946.0,97.6011,0.0001372,15.05666472,319.2312,108.1186,252.019,95.63871061611844,LEO
STARLINK-34747,64947.0,97.6015,0.0002485,15.05654196,319.2238,90.6783,269.4729,95.63949038401908,LEO
STARLINK-34630,64948.0,97.6009,0.000283,15.05655205,319.2625,89.5348,270.6203,95.63942629215697,LEO
STARLINK-34689,64949.0,97.6029,0.0002844,15.0565719,319.1265,84.3873,275.7678,95.63930020484942,LEO
STARLINK-34586,64950.0,97.6031,0.0001658,15.05653609,319.2059,96.9826,263.159,95.63952767040458,LEO
STARLINK-34738,64951.0,97.6039,0.000276,15.05652467,319.2515,57.0611,303.0881,95.63960021061088,LEO
STARLINK-34744,64952.0,97.6035,0.0001837,15.05670954,319.1106,93.698,266.4457,95.63842592396851,LEO
STARLINK-34701,64953.0,97.6056,0.0002603,15.05651428,319.2572,76.3068,283.8449,95.63966620831977,LEO
STARLINK-34761,64954.0,97.6013,0.0002886,15.05627001,319.1891,81.1717,278.9836,95.64121784768656,LEO
STARLINK-34732,64955.0,97.6006,0.0003048,15.05651045,319.2346,77.4851,282.6717,95.63969053666084,LEO
HULIANWANG DIGUI-35,64956.0,86.4926,0.0001546,13.24419636,307.4422,99.2139,260.917,108.72686880036562,LEO
HULIANWANG DIGUI-36,64957.0,86.4946,0.0001494,13.24422288,307.4882,96.2528,263.8777,108.72665108758724,LEO
HULIANWANG DIGUI-37,64958.0,86.4887,0.0001415,13.24421826,307.3102,94.1262,266.0034,108.72668901486375,LEO
HULIANWANG DIGUI-38,64959.0,86.4946,0.0001474,13.24422056,307.4556,94.0342,266.0961,108.72667013331586,LEO
HULIANWANG DIGUI-39,64960.0,86.4922,0.0001506,13.24422263,307.3909,93.6038,266.5268,108.72665313992839,LEO
ENSHI XIDA SHANQUAN,64962.0,97.3646,0.000906,15.37235023,171.7635,114.0752,246.1442,93.67468073878251,LEO
STARLINK-34617,65015.0,53.1606,0.0001209,15.30211161,175.9116,116.3907,243.7218,94.1046593242042,LEO
STARLINK-34627,65016.0,53.1578,0.0001316,15.30320863,175.5107,148.2962,211.8118,94.09791337334724,LEO
STARLINK-34549,65017.0,53.1601,0.0001313,15.30194058,175.2701,98.3327,261.7823,94.10571113327379,LEO
STARLINK-34623,65018.0,53.1611,0.0001188,15.30236555,175.9515,92.7208,267.3928,94.10309767433311,LEO
STARLINK-34232,65019.0,53.1606,9.98e-05,15.30162288,178.5954,91.7046,268.4069,94.10766500343917,LEO
STARLINK-34772,65020.0,53.1574,0.0001196,15.30246312,175.4348,86.8812,273.2325,94.10249766378786,LEO
STARLINK-34778,65021.0,53.1616,0.0001889,15.30137354,178.9594,48.3592,311.7571,94.10919851316825,LEO
STARLINK-34789,65022.0,53.1609,0.0001562,15.30191356,175.596,56.459,303.656,94.10587730440689,LEO
STARLINK-34858,65023.0,53.1595,0.0001566,15.30208307,175.5349,68.4528,291.6639,94.10483483932623,LEO
STARLINK-34773,65024.0,53.1584,0.0001322,15.30182493,175.3751,111.68,248.4342,94.10642237690273,LEO
STARLINK-34727,65025.0,53.1583,0.0002178,15.30210318,175.3118,110.884,249.2394,94.10471116689988,LEO
STARLINK-34804,65026.0,53.157,0.0001687,15.30189927,175.5024,116.8302,243.2872,94.1059651871568,LEO
