satellite,line1,line2,norad_id,inclination,eccentricity,mean_motion,right_ascension,perigee,mean_anomaly,orbital_period_minutes,orbit_type,latitude,longitude,altitude_km,x,y,z
STARLINK-34029,1 63805U 25092B   26097.08766564  .00040627  00000+0  14772-2 0  9997,2 63805  43.0052  12.5255 0001446 279.1255  80.9433 15.27593183 52956,63805,0.7505823354786655,0.0001446,0.0666538266859256,0.2186112154585497,4.871659001275432,1.412727092429526,94.26593519958132,LEO,29.003245605875545,151.82461969452473,486.2117356339786,-5286.626907607845,2831.740406984189,3324.7819469141277
STARLINK-34102,1 63806U 25092C   26097.15176613  .00030202  00000+0  11020-2 0  9997,2 63806  43.0032  12.1492 0001556 279.5763  80.4912 15.27596446 53014,63806,0.7505474288936255,0.0001556,0.0666539690611594,0.2120435414832951,4.879526945543423,1.40483645888126,94.2657338442119,LEO,24.978544629122368,158.31891800994129,486.90223262774543,-5776.669495469581,2296.6068786781407,2895.947067403008
STARLINK-34109,1 63807U 25092D   26097.43628986  .00026868  00000+0  98297-3 0  9999,2 63807  43.0017   9.9785 0001329 258.5424 101.5278 15.27558585 53018,63807,0.7505212489548456,0.0001329,0.0666523170633891,0.1741576794102541,4.512416136008187,1.7719943923062988,94.26807024884098,LEO,10.156966133226264,18.830232277529426,488.91305988701515,6391.011807078963,2179.441611839976,1209.7146488185042
STARLINK-34091,1 63808U 25092E   26097.46199444  .00008605  00000+0  32174-3 0  9996,2 63808  43.0021  10.1747 0000828 260.6543  99.4215 15.27590717 53069,63808,0.7505282302718536,8.28e-05,0.0666537190863773,0.177582015402667,4.549275744481055,1.7352325222715423,94.26608737371632,LEO,-33.29246938059194,-127.11035135242562,492.55505980626276,-3461.494240697286,-4575.197505742025,-3767.494321702904
STARLINK-34095,1 63809U 25092F   26097.15690786  .00034871  00000+0  12702-2 0  9996,2 63809  43.0024  12.1923 0001472 286.2295  73.8394 15.27593997 52960,63809,0.7505334662596096,0.0001472,0.0666538622033759,0.2127957783909046,4.995647191337109,1.2887406476971008,94.2658849686486,LEO,38.73347055973973,128.98763149391633,484.8510906210531,-3364.714248295971,4156.910546258289,4289.695433768063
STARLINK-34127,1 63810U 25092G   26097.44399988  .00037553  00000+0  13671-2 0  9996,2 63810  43.0000  10.0381 0001241 252.5099 107.5617 15.27583565 53013,63810,0.7504915783575618,0.0001241,0.066653407021507,0.1751978956444428,4.407129148881629,1.8773058140423848,94.2665287185124,LEO,-18.293588048751015,-12.929602586974625,491.7116245976531,6350.669059673774,-1457.951056417733,-2154.1105018035605
STARLINK-34110,1 63811U 25092H   26097.58335648  .00667337  00000+0  50664-2 0  9997,2 63811  42.9943 356.3931 0026558 232.6562 100.9505 15.69166353  5879,63811,0.7503920945901981,0.0026558,0.068467798428404,6.220233026389403,4.060616715178432,1.7619186065345358,91.76847293768094,LEO,-37.59654392039204,-60.83974463915786,362.2918694507425,2599.483235969973,-4658.813235115189,-4107.9636738216295
STARLINK-34101,1 63812U 25092J   26097.16189515  .00038942  00000+0  14163-2 0  9990,2 63812  43.0017  11.3565 0002202 259.9183 100.1420 15.27600203 52912,63812,0.7505212489548456,0.0002202,0.0666541329912094,0.198208316502736,4.536430121186378,1.7478076195321617,94.26550200582815,LEO,42.84626217021911,92.00051502316136,484.68437607522446,-175.4659986378596,5023.394145568678,4662.0951519622895
STARLINK-34065,1 63813U 25092K   26097.42777293  .00022449  00000+0  82286-3 0  9993,2 63813  43.0012   6.4067 0001579 263.1137  96.9535 15.27577671 52991,63813,0.7505125223085856,0.0001579,0.0666531498472417,0.1118180091875207,4.592200372104604,1.6921577963323224,94.26689243613598,LEO,36.98671750463078,58.050035395303624,485.24639341245165,2898.097912350783,4646.951336632114,4124.922589889692
STARLINK-34057,1 63814U 25092L   26097.16960778  .00034279  00000+0  12485-2 0  9994,2 63814  43.0023  11.4156 0001671 283.2831  76.7834 15.27604709 52975,63814,0.7505317209303576,0.0001671,0.0666543296025496,0.1992398060906646,4.944222810256348,1.340123140875814,94.26522394937189,LEO,27.946967308028757,42.376004653553416,486.04396668807476,4474.820366873401,4082.637190128268,3213.5818363766452
STARLINK-34060,1 63815U 25092M   26097.17089303  .00025233  00000+0  92233-3 0  9992,2 63815  43.0009  11.4298 0001397 269.5838  90.4854 15.27615467 52918,63815,0.7505072863208296,0.0001397,0.0666547990088519,0.1994876428444479,4.705124920037889,1.579268154984077,94.26456010084382,LEO,23.83539847807072,35.99753498551457,486.7244983549135,5074.984999434877,3686.8588489755707,2771.278473661329
STARLINK-34048,1 63816U 25092N   26097.15045835  .00017486  00000+0  64316-3 0  9995,2 63816  43.0043  12.1361 0001617 264.0481  96.0187 15.27594419 53011,63816,0.7505666275153975,0.0001617,0.0666538806165995,0.2118149033512838,4.608508728635239,1.6758424584846792,94.26585892757188,LEO,20.61753193967246,164.4812178748964,487.3637855270499,-6185.075791092241,1717.4569866048128,2415.022312989246
STARLINK-33959,1 63817U 25092P   26097.09394286  .00027056  00000+0  98866-3 0  9997,2 63817  43.0053  11.7122 0001481 280.1642  79.9043 15.27595093 53010,63817,0.7505840808079174,0.0001481,0.0666539100253974,0.2044164526520798,4.889787736215897,1.3945931215013052,94.2658173359294,LEO,42.17035428896245,111.17183270376376,484.3423518562977,-1835.0315984952858,4737.901084646179,4602.246310855932
STARLINK-34058,1 63818U 25092Q   26097.16575041  .00035751  00000+0  13013-2 0  9997,2 63818  43.0026  11.3906 0001592 257.0846 102.9828 15.27606122 53024,63818,0.7505369569181136,0.0001592,0.0666543912563054,0.198803473777666,4.486972726172614,1.7973889329228163,94.26513675624044,LEO,38.04614018377751,64.74156425453113,484.95827909209675,2303.835231657427,4882.966112931844,4225.2986983152705
STARLINK-34055,1 63819U 25092R   26097.14662329  .00028766  00000+0  10503-2 0  9991,2 63819  43.0029  12.0864 0001218 278.1677  81.9037 15.27596358 52969,63819,0.7505421929058694,0.0001218,0.066653965221435,0.2109474747130426,4.854942237699831,1.4294892345656798,94.26573927456306,LEO,6.755761136320927,-179.0848010953099,489.1896970070902,-6811.687811631126,-108.81393926832654,807.0138551593145
STARLINK-33794,1 63820U 25092S   26097.14020597  .00026993  00000+0  98637-3 0  9993,2 63820  43.0020  12.0599 0001155 269.1089  90.9630 15.27595291 52968,63820,0.7505264849426017,0.0001155,0.0666539186647772,0.2104849624612641,4.696836351420169,1.587603847491602,94.26580511762008,LEO,-16.99718595648563,-152.69728846407173,491.4225401178246,-5831.555509631131,-3010.2397498184673,-2006.0558581008715
